="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="occ_machinery",="",="-.2909246",="",="",="-.3371402",=""
="",="",=".0188577",="",="",=".0314242",=""
="occ_prof",="",="-.0213234",="",="",="-.0101211",=""
="",="",=".0161402",="",="",=".0156932",=""
="occ_community_personal_service",="",="-.2400124",="",="",="-.3005313",=""
="",="",=".0237684",="",="",=".0190825",=""
="occ_sales",="",="-.3327192",="",="",="-.3221471",=""
="",="",=".021355",="",="",=".0174893",=""
="occ_labourer",="",="-.3516154",="",="",="-.3683394",=""
="",="",=".0212115",="",="",=".0205183",=""
="children_0",="",="",="-.0384951",="",="",=".0022333"
="",="",="",=".0114463",="",="",=".0083139"
="wave_sq",="",="",="-.000519",="",="",="-.0003319"
="",="",="",=".0000977",="",="",=".000082"
="_cons",="2.781647",="3.024639",="2.784693",="2.802582",="3.028248",="2.753493"
="",=".0199713",=".0248786",=".0251314",=".016339",=".0235269",=".0183986"
="q4",="",="",="",="",="",=""
="sector_public",="-.0169811",="-.0194633",="",=".1001802",=".0652399",=""
="",=".0157507",=".0160731",="",=".0118304",=".0104921",=""
="experience",=".0251766",=".022481",=".0268794",=".0214867",=".016059",=".021685"
="",=".0022452",=".002348",=".0030812",=".0019796",=".0014584",=".0021136"
="experience_sq",="-.0004044",="-.0003599",="-.0004416",="-.0003923",="-.0002787",="-.0003967"
="",=".0000461",=".0000466",=".000064",=".0000485",=".0000345",=".0000494"
="edu_uni",=".4299284",=".2636336",=".4322582",=".3583517",=".1720075",=".4012262"
="",=".0210498",=".0214359",=".0226271",=".012531",=".0142182",=".0116399"
="edu_diploma_cert",=".0948791",=".0589375",=".1041409",=".0617279",=".0353956",=".0741804"
="",=".0157281",=".0136613",=".0166573",=".0143313",=".0110396",=".0143756"
="children_1",=".0174947",=".0138903",="",="-.0337945",="-.020229",=""
="",=".0153635",=".0146106",="",=".0115655",=".0106709",=""
="children_2",=".0711925",=".061042",="",=".0109087",=".005732",=""
="",=".0159251",=".0179032",="",=".0122149",=".009947",=""
="children_3",=".0704166",=".073871",="",=".0264705",=".0226901",=""
="",=".0271424",=".025441",="",=".0257189",=".020742",=""
="children_4_plus",=".0259353",=".004824",="",=".008117",=".046458",=""
="",=".0521297",=".0355457",="",=".0336181",=".0385479",=""
="health_poor",="-.0576521",="-.0545287",="-.0654936",="-.0403765",="-.0355272",="-.0366241"
="",=".0144297",=".0128983",=".0139546",=".009324",=".0083132",=".0105033"
="birth_eng",=".0528299",=".0542343",=".0743133",=".0312432",=".0212495",=".0250126"
="",=".0279064",=".0212088",=".0219489",=".0183797",=".0130818",=".0176361"
="birth_neng",="-.1138827",="-.0876417",="-.1046505",="-.0081343",=".020325",="-.008613"
="",=".0217348",=".018754",=".0236908",=".0194774",=".0123899",=".0206924"
="married_yes",=".0806362",=".0865418",=".0791185",=".0345125",=".0326912",=".035973"
="",=".0168916",=".0125652",=".0173225",=".0114928",=".01111",=".0126118"
="married_sep",=".0053218",=".0145148",=".0051679",="-.0259061",="-.0025545",="-.0307857"
="",=".0378526",=".0284643",=".0344076",=".0188722",=".0159978",=".0189305"
="urban_no",="-.0757415",="-.0565298",="-.0862245",="-.0235775",="-.0132841",="-.0169849"
="",=".0186165",=".0192892",=".0207507",=".0132994",=".0148979",=".0138273"
="state_VIC",="-.0318472",="-.0213976",="",="-.0391151",="-.0360296",=""
="",=".0154712",=".0149685",="",=".013386",=".0138171",=""
="state_WA",=".0857573",=".0871326",="",="-.0028069",="-.0063074",=""
="",=".0302069",=".0273555",="",=".018897",=".0161181",=""
="state_QLD",="-.0464029",="-.0296334",="",="-.0717881",="-.0602018",=""
