="",="(1)",="(2)",="(3)",="(4)"
="Wave=2",="-0.027",="-0.021",="-0.005",="-0.010"
="",="(0.017)",="(0.016)",="(0.015)",="(0.013)"
="Wave=3",="0.009",="0.005",="0.016",="0.018"
="",="(0.019)",="(0.017)",="(0.015)",="(0.014)"
="Wave=4",="0.036*",="0.036**",="0.030*",="0.024*"
="",="(0.019)",="(0.016)",="(0.016)",="(0.015)"
="Wave=5",="0.045**",="0.033*",="0.053***",="0.058***"
="",="(0.019)",="(0.017)",="(0.018)",="(0.016)"
="Wave=6",="0.072***",="0.065***",="0.056***",="0.051***"
="",="(0.020)",="(0.018)",="(0.015)",="(0.017)"
="Wave=7",="0.103***",="0.099***",="0.082***",="0.088***"
="",="(0.020)",="(0.019)",="(0.015)",="(0.015)"
="Wave=8",="0.105***",="0.088***",="0.090***",="0.098***"
="",="(0.021)",="(0.019)",="(0.015)",="(0.015)"
="Wave=9",="0.102***",="0.101***",="0.118***",="0.125***"
="",="(0.019)",="(0.018)",="(0.016)",="(0.016)"
="Wave=10",="0.142***",="0.131***",="0.132***",="0.149***"
="",="(0.020)",="(0.018)",="(0.017)",="(0.016)"
="Wave=11",="0.143***",="0.137***",="0.118***",="0.117***"
="",="(0.019)",="(0.017)",="(0.015)",="(0.015)"
="Wave=12",="0.161***",="0.143***",="0.124***",="0.122***"
="",="(0.019)",="(0.018)",="(0.016)",="(0.015)"
="Wave=13",="0.149***",="0.151***",="0.121***",="0.114***"
="",="(0.019)",="(0.019)",="(0.015)",="(0.015)"
="Wave=14",="0.137***",="0.145***",="0.119***",="0.119***"
="",="(0.020)",="(0.017)",="(0.015)",="(0.016)"
="Wave=15",="0.124***",="0.130***",="0.151***",="0.147***"
="",="(0.017)",="(0.018)",="(0.017)",="(0.016)"
="Wave=16",="0.168***",="0.142***",="0.141***",="0.141***"
="",="(0.021)",="(0.020)",="(0.015)",="(0.016)"
="Wave=17",="0.165***",="0.152***",="0.150***",="0.144***"
="",="(0.022)",="(0.021)",="(0.016)",="(0.015)"
="Wave=18",="0.142***",="0.129***",="0.167***",="0.161***"
="",="(0.022)",="(0.020)",="(0.018)",="(0.018)"
="Wave=19",="0.187***",="0.196***",="0.187***",="0.182***"
="",="(0.022)",="(0.021)",="(0.017)",="(0.016)"
="Technician / Trades",="-0.213***",="",="-0.411***",=""
="",="(0.021)",="",="(0.022)",=""
="Administration",="-0.273***",="",="-0.286***",=""
="",="(0.022)",="",="(0.017)",=""
="Machinery",="-0.329***",="",="-0.466***",=""
="",="(0.029)",="",="(0.031)",=""
